serial,epoch,datasize,batchsize,input_width,input_height,input_dim,output_dim,max_core,executor_cores,task_cpus,driver_core,executor_instances,driver_memory,executor_memory,parallelism
113,1,60000,180,43,36,1548,89,6,3,1,5,2,5g,27g,1
114,1,60000,90,6,48,288,58,3,1,1,3,3,8g,5g,1
115,1,60000,720,30,24,720,121,24,4,1,6,6,1g,19g,1
116,1,60000,240,12,30,360,10,8,2,1,6,4,6g,8g,1
117,1,60000,150,37,5,185,73,5,5,1,3,1,13g,23g,1
118,1,60000,540,24,17,408,42,18,6,1,4,3,3g,1g,1
119,1,60000,540,49,42,2058,105,18,3,1,1,6,9g,16g,1
120,1,60000,450,3,21,63,65,15,3,1,1,5,4g,10g,1
121,1,60000,360,27,45,1215,2,12,6,1,4,2,10g,25g,1
122,1,60000,600,15,33,495,97,20,5,1,3,4,7g,3g,1
123,1,60000,420,40,8,320,34,14,2,1,6,7,13g,18g,1
124,1,60000,750,21,39,819,81,25,5,1,7,5,9g,14g,1
125,1,60000,120,46,14,644,18,4,2,1,4,2,2g,28g,1
126,1,60000,360,9,2,18,113,12,4,1,5,3,12g,7g,1
127,1,60000,1260,34,27,918,50,42,7,1,2,6,5g,21g,1
128,1,60000,480,17,39,663,121,16,4,1,4,4,7g,22g,1
129,1,60000,1470,42,15,630,57,49,7,1,7,7,14g,8g,1
130,1,60000,750,5,3,15,89,25,5,1,2,5,4g,29g,1
131,1,60000,120,30,27,810,25,4,2,1,5,2,11g,15g,1
132,1,60000,450,11,21,231,105,15,5,1,4,3,12g,19g,1
133,1,60000,360,36,46,1656,41,12,2,1,1,6,6g,4g,1
134,1,60000,450,23,33,759,73,15,3,1,6,5,9g,26g,1
135,1,60000,360,48,9,432,9,12,6,1,3,2,2g,11g,1
136,1,60000,540,2,30,60,33,18,6,1,3,3,8g,17g,1
137,1,60000,540,26,6,156,97,18,3,1,6,6,2g,2g,1
138,1,60000,300,14,18,252,1,10,2,1,2,5,11g,24g,1
139,1,60000,300,39,43,1677,65,10,5,1,5,2,5g,9g,1
140,1,60000,90,20,12,240,49,3,1,1,5,3,3g,20g,1
141,1,60000,720,45,36,1620,113,24,4,1,2,6,10g,6g,1
142,1,60000,720,8,49,392,17,24,6,1,7,4,7g,28g,1
143,1,60000,90,33,24,792,81,3,3,1,4,1,13g,13g,1
144,1,60000,420,10,4,40,77,14,2,1,2,7,9g,14g,1
145,1,60000,600,34,29,986,13,20,5,1,5,4,3g,29g,1
146,1,60000,420,22,41,902,109,14,7,1,4,2,13g,7g,1
147,1,60000,600,46,17,782,45,20,4,1,7,5,6g,21g,1
148,1,60000,1080,16,35,560,93,36,6,1,6,6,1g,10g,1
149,1,60000,270,40,10,400,29,9,3,1,3,3,8g,25g,1
150,1,60000,120,3,23,69,125,4,2,1,4,2,5g,3g,1
151,1,60000,750,28,47,1316,61,25,5,1,1,5,11g,18g,1
152,1,60000,1050,25,13,325,21,35,5,1,1,7,5g,9g,1
153,1,60000,240,49,38,1862,85,8,2,1,4,4,12g,23g,1
154,1,60000,240,13,26,338,53,8,4,1,3,2,2g,1g,1
155,1,60000,1050,37,1,37,117,35,7,1,6,5,9g,16g,1
156,1,60000,540,7,44,308,5,18,3,1,6,6,13g,12g,1
157,1,60000,540,31,20,620,69,18,6,1,3,3,7g,27g,1
158,1,60000,120,19,7,133,37,4,4,1,5,1,10g,5g,1
159,1,60000,120,43,32,1376,101,4,1,1,2,4,4g,19g,1
160,1,60000,360,4,17,68,51,12,6,1,6,2,12g,6g,1
161,1,60000,450,29,42,1218,115,15,3,1,3,5,5g,21g,1
162,1,60000,210,17,30,510,19,7,1,1,4,7,8g,14g,1
163,1,60000,480,41,5,205,83,16,4,1,1,4,2g,28g,1
164,1,60000,60,23,48,1104,35,2,2,1,2,1,7g,3g,1
165,1,60000,600,47,23,1081,99,20,5,1,5,4,13g,17g,1
166,1,60000,1080,10,11,110,3,36,6,1,4,6,3g,10g,1
167,1,60000,270,35,36,1260,67,9,3,1,7,3,10g,24g,1
168,1,60000,180,13,2,26,107,6,3,1,7,2,3g,5g,1
169,1,60000,900,38,26,988,43,30,6,1,4,5,9g,19g,1
170,1,60000,720,1,39,39,75,24,4,1,5,6,6g,12g,1
171,1,60000,90,26,14,364,11,3,1,1,2,3,12g,26g,1
172,1,60000,150,7,33,231,123,5,5,1,2,1,8g,8g,1
173,1,60000,240,32,8,256,59,8,2,1,5,4,1g,23g,1
174,1,60000,720,20,20,400,91,24,4,1,3,6,11g,15g,1
175,1,60000,630,44,45,1980,27,21,7,1,6,3,4g,30g,1
176,1,60000,600,21,28,588,7,20,4,1,5,5,1g,27g,1
177,1,60000,60,46,3,138,71,2,1,1,2,2,8g,13g,1
178,1,60000,360,9,16,144,39,12,3,1,6,4,5g,20g,1
179,1,60000,1260,33,40,1320,103,42,6,1,3,7,11g,5g,1
180,1,60000,600,3,10,30,23,20,4,1,4,5,10g,24g,1
181,1,60000,420,27,34,918,87,14,7,1,7,2,3g,9g,1
182,1,60000,450,15,46,690,55,15,5,1,2,3,13g,16g,1
183,1,60000,360,39,22,858,119,12,2,1,5,6,6g,2g,1
184,1,60000,300,12,43,516,95,10,2,1,5,5,14g,25g,1
185,1,60000,300,36,19,684,31,10,5,1,2,2,7g,11g,1
186,1,60000,720,24,7,168,127,24,6,1,6,4,10g,18g,1
187,1,60000,630,49,31,1519,63,21,3,1,3,7,4g,4g,1
188,1,60000,840,18,25,450,79,28,7,1,3,4,6g,29g,1
189,1,60000,120,43,49,2107,15,4,4,1,6,1,12g,14g,1
190,1,60000,180,6,37,222,111,6,2,1,1,3,2g,22g,1
191,1,60000,900,30,13,390,47,30,5,1,4,6,9g,7g,1
192,1,60000,90,11,37,407,32,3,3,1,5,1,12g,16g,1
193,1,60000,720,35,12,420,96,24,6,1,2,4,5g,2g,1
194,1,60000,720,23,25,575,64,24,4,1,7,6,8g,23g,1
195,1,60000,90,48,49,2352,128,3,1,1,4,3,2g,9g,1
196,1,60000,300,17,6,102,16,10,5,1,3,2,7g,20g,1
197,1,60000,300,41,31,1271,80,10,2,1,6,5,13g,5g,1
198,1,60000,630,5,43,215,48,21,3,1,1,7,3g,27g,1
199,1,60000,720,29,18,522,112,24,6,1,4,4,10g,12g,1
200,1,60000,180,20,46,920,72,6,6,1,4,1,4g,22g,1
201,1,60000,360,44,21,924,8,12,3,1,1,4,11g,7g,1
202,1,60000,180,8,9,72,104,6,1,1,6,6,7g,29g,1
203,1,60000,360,32,34,1088,40,12,4,1,3,3,14g,14g,1
204,1,60000,120,2,15,30,88,4,2,1,3,2,9g,18g,1
205,1,60000,750,26,40,1040,24,25,5,1,6,5,3g,3g,1
206,1,60000,1260,14,28,392,120,42,7,1,2,6,12g,25g,1
207,1,60000,360,38,3,114,56,12,4,1,5,3,6g,11g,1
208,1,60000,150,15,20,300,44,5,1,1,7,5,2g,10g,1
209,1,60000,240,40,44,1760,108,8,4,1,4,2,9g,24g,1
210,1,60000,540,3,32,96,12,18,6,1,5,3,5g,2g,1
211,1,60000,540,28,8,224,76,18,3,1,2,6,12g,17g,1
212,1,60000,900,9,38,342,60,30,6,1,1,5,10g,13g,1
213,1,60000,180,34,14,476,124,6,3,1,4,2,4g,28g,1
214,1,60000,240,21,2,42,28,8,2,1,3,4,14g,6g,1
215,1,60000,1050,46,26,1196,92,35,5,1,6,7,7g,21g,1
216,1,60000,600,6,11,66,116,20,5,1,6,4,13g,15g,1
217,1,60000,60,31,35,1085,52,2,2,1,3,1,6g,30g,1
218,1,60000,270,18,48,864,84,9,3,1,5,3,9g,8g,1
219,1,60000,1080,43,23,989,20,36,6,1,2,6,3g,22g,1
220,1,60000,600,25,29,725,100,20,4,1,2,5,5g,12g,1
221,1,60000,420,49,5,245,36,14,7,1,5,2,11g,26g,1
222,1,60000,450,12,17,204,68,15,5,1,4,3,1g,4g,1
223,1,60000,360,37,41,1517,4,12,2,1,7,6,8g,19g,1
224,1,60000,630,24,8,192,86,21,7,1,1,3,6g,3g,1
225,1,60000,720,48,33,1584,22,24,4,1,4,6,13g,17g,1
226,1,60000,240,12,45,540,118,8,2,1,3,4,3g,10g,1
227,1,60000,150,36,21,756,54,5,5,1,6,1,9g,25g,1
228,1,60000,120,5,27,135,70,4,1,1,7,4,11g,7g,1
229,1,60000,840,30,2,60,6,28,4,1,4,7,4g,21g,1
230,1,60000,900,18,15,270,102,30,6,1,5,5,8g,14g,1
231,1,60000,180,42,39,1638,38,6,3,1,2,2,1g,28g,1
232,1,60000,270,8,24,192,14,9,3,1,2,3,8g,5g,1
233,1,60000,1080,33,48,1584,78,36,6,1,5,6,2g,19g,1
234,1,60000,600,21,36,756,46,20,5,1,3,4,12g,12g,1
235,1,60000,60,45,12,540,110,2,2,1,6,1,5g,26g,1
236,1,60000,360,15,42,630,30,12,4,1,6,3,4g,1g,1
237,1,60000,180,39,18,702,94,6,1,1,3,6,10g,16g,1
238,1,60000,450,2,5,10,62,15,3,1,4,5,7g,8g,1
239,1,60000,360,27,30,810,126,12,6,1,1,2,13g,23g,1
240,1,60000,900,4,50,200,98,30,5,1,3,6,10g,26g,1
241,1,60000,180,28,25,700,34,6,2,1,6,3,4g,11g,1
242,1,60000,240,16,13,208,66,8,4,1,1,2,14g,18g,1
243,1,60000,1050,41,38,1558,2,35,7,1,4,5,7g,4g,1
244,1,60000,630,22,19,418,114,21,3,1,5,7,2g,29g,1
245,1,60000,720,47,44,2068,50,24,6,1,2,4,9g,15g,1
246,1,60000,300,10,31,310,82,10,5,1,6,2,6g,22g,1
247,1,60000,300,34,7,238,18,10,2,1,3,5,12g,7g,1
248,1,60000,360,19,34,646,58,12,2,1,4,6,5g,27g,1
249,1,60000,450,44,10,440,122,15,5,1,7,3,11g,13g,1
250,1,60000,210,7,22,154,26,7,7,1,2,1,2g,20g,1
251,1,60000,480,31,47,1457,90,16,4,1,5,4,8g,6g,1
252,1,60000,1260,13,4,52,42,42,6,1,5,7,13g,24g,1
253,1,60000,360,38,28,1064,106,12,3,1,2,4,6g,9g,1
254,1,60000,60,25,41,1025,10,2,1,1,6,2,10g,17g,1
255,1,60000,600,50,16,800,74,20,4,1,3,5,3g,2g,1
256,1,60000,1260,25,33,825,37,42,6,1,7,7,6g,15g,1
257,1,60000,360,50,9,450,100,12,3,1,4,4,12g,30g,1
258,1,60000,120,13,21,273,5,4,2,1,5,2,2g,8g,1
259,1,60000,750,38,45,1710,69,25,5,1,2,5,9g,22g,1
260,1,60000,360,7,2,14,53,12,2,1,2,6,14g,11g,1
261,1,60000,450,32,27,864,116,15,5,1,5,3,7g,26g,1
262,1,60000,420,19,39,741,21,14,7,1,3,2,11g,4g,1
263,1,60000,600,44,15,660,85,20,4,1,6,5,4g,19g,1
264,1,60000,540,10,48,480,124,18,3,1,6,6,10g,10g,1
265,1,60000,540,35,24,840,61,18,6,1,3,3,3g,24g,1
266,1,60000,240,22,12,264,93,8,4,1,4,2,13g,2g,1
267,1,60000,150,47,36,1692,29,5,1,1,1,5,6g,17g,1
268,1,60000,900,16,18,288,108,30,5,1,2,6,2g,13g,1
269,1,60000,180,41,42,1722,45,6,2,1,5,3,8g,28g,1
270,1,60000,90,4,30,120,77,3,3,1,3,1,5g,6g,1
271,1,60000,720,28,5,140,13,24,6,1,6,4,11g,21g,1
272,1,60000,600,2,25,50,17,20,5,1,5,4,8g,21g,1
273,1,60000,420,27,50,1350,81,14,2,1,2,7,1g,7g,1
274,1,60000,450,15,38,570,49,15,3,1,6,5,11g,29g,1
275,1,60000,360,39,13,507,112,12,6,1,3,2,4g,14g,1
276,1,60000,360,21,44,924,1,12,4,1,3,3,3g,18g,1
277,1,60000,1260,45,19,855,65,42,7,1,6,6,9g,3g,1
278,1,60000,750,9,7,63,33,25,5,1,1,5,6g,25g,1
279,1,60000,120,33,32,1056,96,4,2,1,4,2,13g,11g,1
280,1,60000,120,18,10,180,73,4,1,1,4,4,7g,16g,1
281,1,60000,840,42,35,1470,9,28,4,1,1,7,13g,2g,1
282,1,60000,900,5,47,235,104,30,6,1,6,5,4g,23g,1
283,1,60000,180,30,22,660,41,6,3,1,3,2,10g,9g,1
284,1,60000,630,12,28,336,89,21,7,1,4,3,12g,20g,1
285,1,60000,720,36,4,144,25,24,4,1,7,6,5g,5g,1
286,1,60000,240,24,16,384,120,8,2,1,2,4,8g,27g,1
287,1,60000,150,48,41,1968,57,5,5,1,5,1,2g,12g,1
288,1,60000,450,12,12,144,110,15,3,1,3,5,14g,27g,1
289,1,60000,360,37,37,1369,47,12,6,1,6,2,7g,13g,1
290,1,60000,600,25,49,1225,79,20,5,1,2,4,10g,20g,1
291,1,60000,420,49,25,1225,15,14,2,1,5,7,4g,6g,1
292,1,60000,480,19,31,589,126,16,4,1,5,4,5g,24g,1
293,1,60000,30,43,6,258,63,1,1,1,2,1,12g,9g,1
294,1,60000,270,6,19,114,95,9,3,1,7,3,2g,16g,1
295,1,60000,1080,31,43,1333,31,36,6,1,4,6,9g,2g,1
296,1,60000,1050,22,22,484,55,35,7,1,4,5,1g,26g,1
297,1,60000,240,46,46,2116,118,8,4,1,7,2,8g,11g,1
298,1,60000,180,9,34,306,23,6,2,1,2,3,5g,18g,1
299,1,60000,900,34,9,306,87,30,5,1,5,6,11g,4g,1
300,1,60000,120,3,40,120,39,4,1,1,4,4,10g,29g,1
301,1,60000,120,28,15,420,102,4,4,1,1,1,3g,15g,1
302,1,60000,540,15,3,45,7,18,6,1,6,3,13g,22g,1
303,1,60000,540,40,28,1120,71,18,3,1,3,6,6g,7g,1
304,1,60000,120,14,45,630,91,4,2,1,1,2,3g,5g,1
305,1,60000,750,38,20,760,27,25,5,1,4,5,10g,19g,1
306,1,60000,1260,2,8,16,122,42,6,1,3,7,7g,12g,1
307,1,60000,360,26,32,832,59,12,3,1,6,4,13g,26g,1
308,1,60000,360,8,14,112,75,12,6,1,6,2,8g,1g,1
309,1,60000,450,32,38,1216,11,15,3,1,3,5,2g,16g,1
310,1,60000,180,20,26,520,106,6,1,1,5,6,12g,8g,1
311,1,60000,360,45,2,90,43,12,4,1,2,3,5g,23g,1
312,1,60000,300,5,35,175,3,10,5,1,2,2,12g,3g,1
313,1,60000,300,29,11,319,67,10,2,1,5,5,6g,17g,1
314,1,60000,840,17,23,391,35,28,4,1,4,7,9g,10g,1
315,1,60000,840,41,48,1968,98,28,7,1,7,4,3g,25g,1
316,1,60000,90,23,5,115,19,3,3,1,6,1,7g,6g,1
317,1,60000,720,48,29,1392,83,24,6,1,3,4,14g,21g,1
318,1,60000,900,11,41,451,51,30,5,1,5,6,4g,14g,1
319,1,60000,180,35,17,595,114,6,2,1,2,3,11g,28g,1
320,1,60000,720,6,42,252,68,24,6,1,2,4,13g,9g,1
321,1,60000,90,30,17,510,4,3,3,1,5,1,6g,23g,1
322,1,60000,180,18,5,90,99,6,2,1,3,3,10g,1g,1
323,1,60000,900,43,30,1290,36,30,5,1,6,6,3g,16g,1
324,1,60000,150,24,23,552,84,5,1,1,6,5,5g,12g,1
325,1,60000,240,49,48,2352,20,8,4,1,3,2,11g,27g,1
326,1,60000,720,12,36,432,115,24,6,1,4,4,1g,5g,1
327,1,60000,630,37,11,407,52,21,3,1,1,7,8g,19g,1
328,1,60000,480,15,27,405,28,16,4,1,2,4,2g,14g,1
329,1,60000,210,40,2,80,92,7,7,1,5,1,9g,28g,1
330,1,60000,450,3,14,42,60,15,5,1,3,3,6g,7g,1
331,1,60000,360,27,39,1053,123,12,2,1,6,6,12g,21g,1
332,1,60000,600,9,8,72,12,20,4,1,7,5,10g,10g,1
333,1,60000,60,33,33,1089,76,2,1,1,4,2,4g,25g,1
334,1,60000,270,21,45,945,44,9,3,1,5,3,14g,3g,1
335,1,60000,1080,46,20,920,107,36,6,1,2,6,7g,18g,1
336,1,60000,300,20,4,80,119,10,5,1,4,2,4g,17g,1
337,1,60000,300,44,28,1232,56,10,2,1,7,5,10g,2g,1
338,1,60000,720,7,40,280,88,24,4,1,2,6,7g,24g,1
339,1,60000,630,32,16,512,24,21,7,1,5,3,13g,9g,1
340,1,60000,180,1,34,34,103,6,3,1,5,2,8g,20g,1
341,1,60000,900,26,10,260,40,30,6,1,2,5,2g,6g,1
342,1,60000,840,14,22,308,72,28,4,1,6,7,12g,28g,1
343,1,60000,120,38,46,1748,8,4,1,1,3,4,5g,13g,1
344,1,60000,60,10,19,190,48,2,2,1,3,1,11g,22g,1
345,1,60000,600,35,43,1505,111,20,5,1,6,4,4g,8g,1
346,1,60000,1260,23,31,713,16,42,7,1,1,6,8g,29g,1
347,1,60000,360,47,7,329,80,12,4,1,4,3,1g,15g,1
348,1,60000,360,17,50,850,64,12,6,1,5,2,6g,19g,1
349,1,60000,450,41,25,1025,127,15,3,1,2,5,12g,4g,1
350,1,60000,360,4,13,52,32,12,2,1,7,6,3g,26g,1
351,1,60000,450,29,37,1073,96,15,5,1,4,3,9g,11g,1
352,1,60000,540,19,15,285,10,18,3,1,4,6,5g,25g,1
353,1,60000,540,43,40,1720,74,18,6,1,1,3,11g,11g,1
354,1,60000,300,7,27,189,42,10,5,1,6,2,1g,18g,1
355,1,60000,300,31,3,93,105,10,2,1,3,5,8g,4g,1
356,1,60000,1050,13,46,598,26,35,5,1,3,7,13g,29g,1
357,1,60000,240,37,21,777,90,8,2,1,6,4,6g,14g,1
358,1,60000,240,25,9,225,58,8,4,1,2,2,9g,22g,1
359,1,60000,1050,50,33,1650,121,35,7,1,5,5,3g,7g,1
360,1,60000,1080,4,6,24,82,36,6,1,5,6,10g,27g,1
361,1,60000,270,28,30,840,18,9,3,1,2,3,4g,13g,1
362,1,60000,30,16,43,688,113,1,1,1,7,1,13g,20g,1
363,1,60000,480,40,18,720,50,16,4,1,4,4,7g,5g,1
364,1,60000,360,22,37,814,66,12,2,1,3,6,2g,23g,1
365,1,60000,450,46,12,552,2,15,5,1,6,3,9g,9g,1
366,1,60000,360,10,24,240,97,12,6,1,1,2,5g,16g,1
367,1,60000,450,34,49,1666,34,15,3,1,4,5,12g,2g,1
368,1,60000,180,8,29,232,62,6,2,1,6,3,9g,4g,1
369,1,60000,900,33,4,132,125,30,5,1,3,6,2g,19g,1
370,1,60000,900,20,17,340,30,30,6,1,5,5,12g,12g,1
371,1,60000,180,45,41,1845,94,6,3,1,2,2,6g,26g,1
372,1,60000,840,14,10,140,46,28,7,1,2,4,4g,8g,1
373,1,60000,840,39,35,1365,109,28,4,1,5,7,11g,23g,1
374,1,60000,300,2,47,94,14,10,2,1,4,5,7g,15g,1
375,1,60000,300,27,23,621,78,10,5,1,7,2,14g,30g,1
376,1,60000,360,23,38,874,101,12,4,1,7,3,7g,6g,1
377,1,60000,180,48,14,672,38,6,1,1,4,6,13g,21g,1
378,1,60000,360,11,1,11,70,12,3,1,5,4,3g,14g,1
379,1,60000,180,36,26,936,6,6,6,1,2,1,10g,28g,1
380,1,60000,480,5,20,100,117,16,4,1,1,4,11g,3g,1
381,1,60000,1470,30,44,1320,54,49,7,1,4,7,5g,17g,1
382,1,60000,750,17,32,544,86,25,5,1,3,5,8g,10g,1
383,1,60000,120,42,7,294,22,4,2,1,6,2,2g,24g,1
384,1,60000,600,9,22,198,93,20,5,1,4,4,3g,24g,1
385,1,60000,60,34,47,1598,30,2,2,1,1,1,9g,9g,1
386,1,60000,270,21,34,714,125,9,3,1,6,3,6g,16g,1
387,1,60000,1080,46,10,460,61,36,6,1,3,6,13g,2g,1
388,1,60000,450,15,41,615,77,15,3,1,4,5,8g,27g,1
389,1,60000,360,40,16,640,14,12,6,1,7,2,1g,13g,1
390,1,60000,360,3,4,12,109,12,4,1,2,3,11g,20g,1
391,1,60000,180,28,28,784,45,6,1,1,5,6,5g,5g,1
